Unnamed: 0,Country Name,Year,Renewables Value,Renewables Share,Non-Renewables Value,Non-Renewables Share,CO2 Emissions,Particulate Matter,Respiratory Death Rate
188,Japan,2012,112872.466,0.0846203974882472,964405.518,0.9153795921718324,1306182500.0,12.22,12.34
186,Japan,2010,116146.16,0.0912019724240116,996784.006,0.9087980275759884,1215058000.0,14.042000000000002,12.54
187,Japan,2011,116207.927,0.0865430661083605,958774.537,0.9134569442535408,1265034900.0,13.736,12.54
189,Japan,2013,119508.389,0.092627214866607,937478.567,0.9064616366912644,1315568800.0,13.278,12.11
190,Japan,2014,127801.768,0.10651719138016,920910.264,0.8940954224921353,1264413200.0,13.25,11.89
191,Japan,2015,151668.684,0.1245109627700269,880082.009,0.8679191375078206,1223605100.0,12.598,11.72
192,Japan,2016,155914.216,0.1306635793965576,873660.355,0.8693364206034424,1203888100.0,12.394,11.63
193,Japan,2017,170723.842,0.1248285128397871,860619.104,0.8751714871602129,1188359000.0,11.748,11.5
195,Japan,2019,180144.999527,0.1441125469444815,824786.375195,0.8558874530555185,1106015500.0,10.714,11.41
194,Japan,2018,183435.188683,0.1322365205840662,869435.737802,0.8677634794159339,1143411800.0,10.74,11.42
