,Country Name,Year,Renewables Value,Renewables Share,Non-Renewables Value,Non-Renewables Share,CO2 Emissions,Particulate Matter,Respiratory Death Rate
0,Argentina,2015,33567.573,0.2471049158618809,104023.26,0.7528950841381191,191743840.0,13.940000000000001,34.86
1,Argentina,2016,31013.883,0.2136717540988577,108158.284,0.7863281663159213,189920430.0,13.690000000000001,35.81
2,Argentina,2017,33292.217,0.2499919925078557,104623.013,0.7500080074921444,186898880.0,13.008000000000001,35.94
3,Argentina,2018,34652.21956,0.3241077534041983,104535.897342,0.6758922466862889,180599330.0,12.384,35.09
4,Argentina,2019,34524.081521,0.2753382843340587,97938.231521,0.7246617156659413,178511620.0,11.831999999999999,34.85
5,Australia,2010,24610.86,0.131765501426473,212014.138,0.868234498573527,405103330.0,8.925999999999998,24.23
6,Australia,2011,25078.374,0.1037019106764588,213905.512,0.8962980367706366,403828770.0,7.992,24.37
7,Australia,2012,29876.966,0.1296260910494636,206632.233,0.8703738591633219,406150900.0,7.242,24.19
8,Australia,2013,35667.676,0.1676779907166397,195695.324,0.8323220615274693,397887460.0,7.168000000000001,24.14
9,Australia,2014,32869.815,0.1259242415280549,205342.418,0.8740758066383741,393952900.0,6.837999999999999,24.48
10,Australia,2015,35033.856311,0.1431706182279981,206028.673386,0.8568293817720019,401793060.0,6.531999999999999,24.72
11,Australia,2016,43979.519863,0.1856202631776513,201931.847182,0.8143797368223488,411264300.0,6.609999999999999,24.32
12,Australia,2017,39298.654663,0.1585246074616004,205983.082267,0.8414753925860702,414358300.0,6.828,24.06
13,Australia,2018,50132.733078,0.2237377154562991,197637.065256,0.7762622844963423,416283800.0,7.054,24.27
14,Australia,2019,55675.459561,0.2487035720069428,196097.987605,0.7512964279474694,416356600.0,8.852,24.18
15,Austria,2010,45809.266,0.5722112005798711,21800.133,0.4277889589357374,72006410.0,16.034,17.61
16,Austria,2011,42207.865,0.5936172087179249,20283.87,0.4063827912820751,69893110.0,16.404,17.36
17,Austria,2012,52720.992,0.6515862898127132,16594.215,0.3484133703669533,67265900.0,14.604,17.39
18,Austria,2013,51826.71,0.7105497109947165,13472.988,0.2894500903420881,67759450.0,14.330000000000002,17.41
19,Austria,2014,51370.357,0.7119004405544539,10867.237,0.2880993640777173,64160004.0,13.302000000000001,17.3
20,Austria,2015,48405.934,0.6150251406305361,13551.795,0.3849750738433636,66348824.0,13.98,17.63
21,Austria,2016,51467.09,0.6055683162803648,13493.428,0.3944316837196352,67210744.0,12.572,17.53
22,Austria,2017,52448.23,0.7246068087105476,15645.361,0.2753931912894524,69592824.0,12.6,17.43
23,Austria,2018,51106.76843,0.6560830678345245,14276.942569,0.3439169323267533,66557184.0,12.963999999999999,17.04
24,Austria,2019,55235.997182,0.702194169110834,15537.91516,0.297805830889166,67936184.0,11.768,16.92
25,Belgium,2010,7681.649,0.0760825601049346,83804.351,0.9239175707492698,114557864.0,16.028,30.18
26,Belgium,2011,9405.339,0.142461314689318,77253.663,0.8575386853106819,105020120.0,16.24,29.49
27,Belgium,2012,11518.663,0.1588932990456334,68264.34,0.8411065497028967,102355640.0,14.598000000000003,29.4
28,Belgium,2013,12745.991,0.1519012150131071,67534.007,0.8480987849868928,102666430.0,14.368,28.86
29,Belgium,2014,13199.087,0.2148668766504146,56618.515,0.7851331233495855,96887000.0,13.088,27.79
30,Belgium,2015,15308.409,0.2365968730549147,52070.886,0.7634029726880143,101061720.0,13.24,27.86
31,Belgium,2016,15132.223,0.1474084378265412,67324.774,0.8525915621734587,99601624.0,12.33,27.33
32,Belgium,2017,16576.751,0.204713206334573,66540.15,0.795286793665427,99126280.0,12.292,27.46
33,Belgium,2018,17726.295457,0.2748134153368585,54258.004545,0.7251865844936862,99873630.0,12.126000000000001,27.49
34,Belgium,2019,19916.739189,0.248266406086541,69996.660807,0.7517335937894944,99432616.0,11.224,27.63
35,Brazil,2015,423216.131,0.7659496899891483,140845.832,0.2340503311735911,529353020.0,11.804,35.4
36,Brazil,2016,457470.239,0.8386322180775598,105837.476,0.16136778192244,492748000.0,11.762,35.44
37,Brazil,2017,458637.322,0.7934947464164053,114442.5,0.2065052535835947,497412700.0,14.569999999999999,34.63
38,Brazil,2018,486518.198235,0.896369074034796,99241.944312,0.1036309259652039,477102140.0,10.922,34.44
39,Brazil,2019,507537.708859,0.7864830279827577,103848.004005,0.2135169720361126,475104580.0,10.722,34.38
40,Bulgaria,2015,9094.398,0.1111762789977103,35632.604,0.888823964975243,48260532.0,21.196,20.22
41,Bulgaria,2016,7648.193,0.1283958925337933,33572.806,0.8716038666099529,45484310.0,20.357999999999997,20.23
42,Bulgaria,2017,6699.715,0.1388664535085144,34647.426,0.8611338109556943,47569756.0,21.03,20.23
43,Bulgaria,2018,9374.168267,0.1787512149526753,33337.122003,0.8212487850473247,43616064.0,21.14,20.49
44,Bulgaria,2019,7669.257401,0.1669623860550208,32676.877596,0.8330376142142198,42255764.0,17.898,20.51
45,Canada,2010,366611.134,0.6499061657773766,218831.866,0.3500938514500271,556560600.0,7.596000000000001,24.72
46,Canada,2011,392288.66,0.6686843631898367,222107.347,0.3313156542422189,567054140.0,7.712000000000001,24.35
47,Canada,2012,398121.491,0.6485968031143039,216615.505,0.351403196885696,568223170.0,7.542,24.21
48,Canada,2013,416479.892,0.6641700320782238,223054.112,0.3358299679217761,572613300.0,7.25,24.16
49,Canada,2014,414931.787,0.6628126951507756,226344.209,0.337187288565457,569839700.0,7.134,24.23
50,Canada,2015,416605.471,0.6579697033698336,221888.528,0.3420302966301665,574298240.0,7.016,24.14
51,Canada,2016,425347.081,0.6827026485571525,219089.913,0.3172973514428476,560525300.0,6.18,23.87
52,Canada,2017,436143.861,0.689927588077758,207997.14,0.310072411922242,571544640.0,6.779999999999999,23.67
53,Canada,2018,428485.542932,0.6905597398666804,206908.457067,0.3094402601498512,584369150.0,6.962000000000001,24.18
54,Canada,2019,422568.13134,0.6975004868539936,204660.868653,0.3024995131295406,584714200.0,6.264,24.22
55,Chile,2010,24101.174,0.4068828009849662,34232.823,0.5931170115167095,71310950.0,22.514,31.31
56,Chile,2011,25689.737,0.4811161480184113,37499.264,0.5188838519815886,78064410.0,22.75,30.61
57,Chile,2012,24871.883,0.3677751102672344,40968.115,0.6322248897327657,79620824.0,22.262,29.97
58,Chile,2013,25642.855,0.4283659054208062,44101.154,0.5716342623727622,81736820.0,24.11,29.18
59,Chile,2014,29943.127,0.5023245438350843,39508.874,0.4976752879330477,77589860.0,23.416,28.45
60,Chile,2015,32035.043,0.5674322715479033,39993.956,0.4325678902109983,81756504.0,24.422,28.03
61,Chile,2016,33527.852,0.4970205525685243,42926.146,0.5029794474314757,84243170.0,24.028,27.21
62,Chile,2017,34147.004,0.5621523313759378,42881.195,0.4378476686240622,84074590.0,22.97,27.27
63,Chile,2018,37294.544856,0.5504433628165418,42587.926184,0.4495566376523206,84468696.0,21.723999999999997,27.09
64,Chile,2019,38612.830575,0.5114142704270006,43487.346384,0.4885857297160721,91961940.0,20.734,26.87
65,Colombia,2014,48591.614,0.7227692559108891,20435.682,0.2772304078323612,97858140.0,17.518,32.89
66,Colombia,2015,49301.099,0.5308598708266604,26820.895,0.4691401291733396,95472344.0,17.654,32.8
67,Colombia,2016,49890.778,0.7878027711583833,24570.492,0.2121972288416167,98730960.0,17.204,32.52
68,Colombia,2017,61994.521,0.8008118318120371,15391.195,0.1991881681879629,79687620.0,16.202,32.12
69,Colombia,2018,59670.123082,0.726364680746516,18018.027611,0.2736353191006044,82426790.0,15.001999999999999,32.09
70,Colombia,2019,54698.270145,0.6261325568702057,23380.433628,0.373867443445387,96438170.0,14.3,31.9
71,Croatia,2015,7611.559,0.5935823313640731,3371.443,0.4064176686359269,17824706.0,18.759999999999998,21.57
72,Croatia,2016,8433.404,0.6219654873766242,3850.593,0.3780336188381328,18109014.0,17.832,20.31
73,Croatia,2017,7201.522,0.7276962947202467,4321.377,0.2723037052797533,18743996.0,18.332,20.06
74,Croatia,2018,9717.480248,0.664883638271186,3464.11975,0.3351163608877036,17724152.0,19.088,19.71
75,Croatia,2019,8281.486968,0.7957637726729764,3968.613027,0.2042362273270235,17857446.0,15.38,19.53
76,Cyprus,2015,396.823,0.0732080739721541,3916.693,0.926791926027846,6972964.0,15.39,36.55
77,Cyprus,2016,422.103,0.0700952059174882,4245.534,0.92990238075127,7375415.0,13.918000000000001,35.38
78,Cyprus,2017,432.677,0.0869856246669897,4345.599,0.9130143753330102,7525365.0,14.856,33.48
79,Cyprus,2018,474.568456,0.1032585856621475,4352.712548,0.8967414143378524,7342546.0,15.656,32.8
80,Cyprus,2019,511.936738,0.101719659403567,4401.851265,0.89828034327031,7343176.0,14.766,32.53
