Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Population, total",SP.POP.TOTL,104257,104874,105439,105962,106442,106585,106537
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,600008150,616377331,632746296,649756874,667242712,685112705,702976832
Afghanistan,AFG,"Population, total",SP.POP.TOTL,33753499,34636207,35643418,36686784,37769499,38972230,40099462
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,408690375,419778384,431138704,442646825,454306063,466189102,478185907
Angola,AGO,"Population, total",SP.POP.TOTL,28127721,29154746,30208628,31273533,32353588,33428486,34503774
Albania,ALB,"Population, total",SP.POP.TOTL,2880703,2876101,2873457,2866376,2854191,2837849,2811666
Andorra,AND,"Population, total",SP.POP.TOTL,71746,72540,73837,75013,76343,77700,79034
Arab World,ARB,"Population, total",SP.POP.TOTL,406501999,415077960,423664839,432545676,441467739,449228296,456520777
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,8916899,8994263,9068296,9140169,9211657,9287289,9365145
Argentina,ARG,"Population, total",SP.POP.TOTL,43131966,43590368,44044811,44494502,44938712,45376763,45808747
Armenia,ARM,"Population, total",SP.POP.TOTL,2878595,2865835,2851923,2836557,2820602,2805608,2790974
American Samoa,ASM,"Population, total",SP.POP.TOTL,51368,50448,49463,48424,47321,46189,45035
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,89941,90564,91119,91626,92117,92664,93219
Australia,AUS,"Population, total",SP.POP.TOTL,23815995,24190907,24594202,24966643,25340217,25655289,25688079
Austria,AUT,"Population, total",SP.POP.TOTL,8642699,8736668,8797566,8840521,8879920,8916864,8955797
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9649341,9757812,9854033,9939771,10024283,10093121,10137750
Burundi,BDI,"Population, total",SP.POP.TOTL,10727148,10903327,11155593,11493472,11874838,12220227,12551213
Belgium,BEL,"Population, total",SP.POP.TOTL,11274196,11331422,11375158,11427054,11488980,11538604,11592952
